AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,MAT110,Mathematical Investigations I/II,1046,,2,1,1,,2,1,1,3,,,11
,,,,,1047,1,,1,4,1,1,,2,,,,10
,,,MAT121,Mathematical Investigations II,1048,4,5,5,1,2,2,,1,,,,20
,,,,,1049,13,7,6,2,5,,1,3,,,,37
,,,,,1050,6,8,9,6,3,1,2,6,,,,41
,,,MAT131,Mathematical Investigations III,1051,9,4,6,3,3,2,,2,2,,,31
,,,,,1052,3,5,9,1,6,3,,3,,,,30
,,,MAT141,Mathematical Investigations IV,1053,15,10,4,4,6,2,,2,,,,43
,,,,,1054,4,8,10,5,7,3,1,4,2,,,44
,,,,,1055,12,4,4,8,5,4,3,3,1,,,44
,,,MAT211,AB Calculus I,1056,3,9,7,2,8,,1,3,,,,33
,,,MAT311,BC Calculus I,1057,17,9,2,,4,,,,,,,32
,,,,,1058,3,6,4,3,1,,,1,,,,18
,,,MAT321,BC Calculus II,1059,6,6,10,7,7,2,,3,,,,41
,,,,,1060,25,9,11,3,10,4,,2,2,,,66
,,,MAT331,BC Calculus III,1061,3,4,5,4,3,1,1,1,,,,22
,,,,,1062,4,5,2,4,3,3,3,1,,,,25
,,,MAT371,BC Calculus II/III,1063,8,5,2,1,5,,,,,,,21
,,,MAT411,Statistical Exploration and Description,1064,3,2,3,8,7,,,2,,,,25
,,,MAT421,Number Theory,1065,4,5,4,2,2,1,,,,,2,20
,,,,,1066,3,4,4,,4,,,,,,1,16
,,,MAT425,Problem Solving,1067,8,5,3,2,2,1,,,,,,21
,,,MAT441,Multi-Variable Calculus,1068,10,2,5,2,3,1,,1,,,,24
,,Science,SCI105,Scientific Inquiries - Chemistry,1069,16,4,8,3,,2,,2,,,,35
,,,,,1070,15,5,3,,3,5,1,2,1,,,35
,,,,,1071,7,7,11,6,,5,1,1,3,,,41
,,,SCI115,Scientific Inquiries - Physics,1072,5,1,3,,4,1,,1,,,,15
,,,,,1073,25,6,6,2,10,4,,2,,,,55
,,,,,1074,11,12,4,4,6,1,1,1,,,,40
,,,SCI125,Scientific Inquiries - Biology,1075,,4,5,2,1,6,2,,1,,,21
,,,,,1076,6,,5,3,1,7,,,1,,,23
,,,,,1077,5,3,2,2,3,2,,3,1,,,21
,,,,,1078,4,1,9,4,3,1,2,,,,,24
,,,,,1079,4,3,3,2,1,6,1,1,,,,21
,,,SCI135,Methods in Scientific Inquiry,1080,2,2,10,4,,1,,1,,,,20
,,,,,1081,6,10,11,5,6,3,1,4,,,,46
,,,,,1082,5,4,4,2,1,2,2,,,,,20
,,,,,1083,6,3,5,2,1,1,1,,,,,19
,,,SCI201,Adv. Chemistry--Structure and Properties,1084,17,16,7,1,5,6,2,1,,,,55
,,,,,1085,7,7,7,5,1,1,,3,1,,,32
,,,SCI215,Organic Chemistry I,1086,12,15,4,3,3,2,,,,,,39
,,,,,1087,4,14,7,6,1,4,,2,,,,38
,,,SCI235,Biochemistry,1088,7,7,7,4,2,2,1,2,,,,32
,,,SCI402,Physics: Sound and Light,1089,8,5,8,2,7,3,,,,,,33
,,,,,1090,13,2,1,1,3,,,,,,,20
,,,SCI411,Physics: Calculus-based Mechanics,1091,6,3,2,,3,2,1,1,,,,18
,,,,,1092,26,10,13,,5,1,,2,,,,57
,,,SCI425,Planetary Science,1093,5,5,4,,4,,,1,,,,19
,,,SCI445,Modern Physics,1094,6,6,10,7,6,1,,1,,,3,40
,,,SCI455,Engineering,1095,11,29,6,1,6,,,,,,,53
,,,SCI465,Biophysics,1096,7,2,7,1,,1,,,,,,18
,,,SCI605,"Evolution, Biodiversity, and Ecology",1097,14,8,7,2,4,2,,1,,,,38
,,,SCI615,Molecular and Cellular Biology,1098,5,6,3,3,2,,,,,,1,20
,,,,,1099,9,8,7,5,2,,,1,,,,32
,,,SCI625,Microbes and Disease,1100,2,3,7,3,1,2,1,,,,,19
,,,,,1101,,7,3,2,4,1,2,1,,,,20
,,,SCI635,Physiology and Disease,1102,4,11,5,3,1,2,1,,,,,27
,,,SCI646,Seminar in Biology: Virology,1103,20,8,1,,1,2,,,,,,32
,,Wellness,WEL105,Moving and Learning,1104,39,,8,,,1,,,,,,48
,,,,,1105,35,,11,,,3,,,,,,49
,,,WEL231,Outdoor and Indoor Games,1106,60,,5,,,,,,,,,65
,,,WEL312,Dance,1107,23,,6,,,2,,,,,,31
,,,WEL525,Movement and Relaxation,1108,16,,5,,,,,,,,,21
,,WldLang,WLG110,French I,1109,19,14,7,1,1,1,1,,1,,,45
,,,WLG120,French II,1110,15,11,8,2,3,,,,,,,39
,,,WLG130,French III,1111,23,9,3,1,2,,,,,,,38
,,,WLG140,French IV,1112,2,6,1,,2,,,,,,,11
,,,WLG150,French V,1113,9,3,,,,,,,,,,12
